"순 이름 팀 정렬
10 kt 17 9.72 1864 5484 4936 655 1360 274 17 119 2025 625 86 51 374 66 11 1017 118 62 45 .276 .332 .410 .742 .328 84.4 9.72 -2.29
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 두산 18 37.57 1837 5870 5176 944 1601 284 30 191 2518 898 96 23 496 92 16 1016 112 43 63 .309 .376 .486 .862 .372 119.8 37.57 26.13
2 KIA 18 26.96 1918 5744 5036 865 1487 258 22 170 2299 823 88 37 503 99 27 905 135 56 50 .295 .367 .457 .824 .357 107.2 26.96 17.18
3 롯데 18 24.47 1910 5764 5130 821 1484 289 17 203 2416 792 68 32 471 81 22 1157 124 45 37 .289 .356 .471 .827 .356 103.9 24.47 13.11
4 SK 18 23.89 1773 5682 4992 829 1403 234 13 233 2362 791 108 39 483 119 6 1079 103 54 34 .281 .356 .473 .829 .357 103.8 23.89 16.93
5 넥센 18 23.60 1757 5780 5141 825 1481 288 19 165 2302 787 101 33 472 85 25 1208 93 32 50 .288 .355 .448 .802 .349 101.3 23.60 15.70
6 LG 18 23.14 1789 5665 5070 788 1487 299 12 148 2254 740 71 38 418 75 14 1001 125 51 51 .293 .353 .445 .797 .347 102.5 23.14 14.02
7 삼성 18 19.89 1717 5766 5109 776 1471 241 29 146 2208 732 116 52 468 87 14 1034 115 57 45 .288 .355 .432 .787 .344 96.6 19.89 8.89
8 KT 18 15.12 1822 5605 5026 757 1382 264 13 206 2290 721 80 57 464 46 14 1109 103 43 26 .275 .340 .456 .796 .343 94.2 15.12 8.54
9 한화 18 12.22 1764 5539 4972 729 1369 249 14 151 2099 668 118 64 420 88 17 1098 113 31 28 .275 .341 .422 .763 .335 89.1 12.22 10.47
10 NC 18 9.68 1938 5488 4895 660 1280 233 18 143 1978 629 82 35 427 88 15 1081 115 35 43 .261 .329 .404 .733 .322 83.6 9.68 6.03
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 키움 19 32.46 1637 5658 4991 780 1405 252 37 112 2067 741 110 33 514 69 13 943 122 36 48 .282 .354 .414 .768 .352 113.8 32.46 9.03
2 두산 19 27.97 1738 5669 4912 736 1364 235 31 84 1913 692 102 38 562 73 16 799 117 39 83 .278 .355 .389 .745 .344 109.5 27.97 6.12
3 NC 19 26.43 1783 5631 4968 674 1383 249 26 128 2068 639 86 45 456 83 14 880 126 64 60 .278 .345 .416 .762 .346 107.7 26.43 -1.13
4 KT 19 23.28 1883 5572 4956 650 1374 186 20 103 1909 615 103 44 475 51 15 973 113 45 45 .277 .344 .385 .729 .336 102.8 23.28 1.76
5 LG 19 21.84 1825 5532 4924 641 1315 233 15 94 1860 604 107 47 434 77 17 961 117 49 48 .267 .333 .378 .711 .327 98.8 21.84 2.58
6 SK 19 19.10 1731 5542 4919 655 1290 218 14 117 1887 622 118 50 462 87 20 966 92 35 38 .262 .334 .384 .718 .331 97.2 19.10 0.54
