,ranking,name,season_team,war,choolzhang,wanto,sonbal,win,loose,save,hold,inning,silzeom,zachaeck,taza,anta,2hit,3hit,homerun,ballfour,gofour,sagu,samzin,vok,poktu,era,fip,whip,wra+,fip+,wpa
87,18,주권,19k,2.08,71,0,0,0,6,2,2,25,75.1,25,25,296,64,15,0,7,14,0,2,47,0,1,2.99,1.04,138.6,102.8,3.22
88,19,쿠에바스,21k,1.94,23,1,1,23,9,4,0,0,133.1,68,61,580,131,21,3,11,51,0,3,137,0,6,4.12,1.37,109.1,124.8,0.02
89,20,금민철,18k,1.89,29,0,0,29,8,12,0,0,156.1,104,94,720,212,30,1,19,68,1,7,79,0,10,5.41,1.79,97.9,89.2,-3.08
90,21,고영표,18k,1.80,25,3,1,23,6,9,0,0,142.0,91,81,620,175,27,4,17,25,1,14,134,1,2,5.13,1.41,103.2,120.6,-2.00
91,22,조현우,20k,1.79,54,0,0,0,5,1,1,9,46.2,16,16,196,38,8,1,1,22,1,1,33,0,3,3.09,1.29,155.7,124.7,1.06
92,23,김재윤,19k,1.68,43,0,0,0,2,2,7,9,47.2,13,12,177,27,3,0,4,12,2,1,42,0,1,2.27,0.82,182.7,120.2,1.38
93,24,이보근,20k,1.48,49,0,0,0,3,1,6,9,46.2,17,13,192,42,5,0,2,12,1,2,27,0,3,2.51,1.16,191.6,125.8,0.04
94,25,김재윤,18k,1.38,62,0,0,0,7,5,15,0,61.0,34,31,271,76,10,1,11,15,4,1,66,0,3,4.57,1.49,115.9,113.2,-0.37
95,26,주권,21k,1.38,62,0,0,0,3,4,0,27,49.0,19,18,208,48,7,1,3,19,2,1,19,0,1,3.31,1.37,135.9,99.5,0.65
96,27,김민수,22k,1.33,33,0,0,0,0,2,2,9,34.1,9,8,140,30,7,1,2,6,2,1,37,0,3,2.10,1.05,188.9,166.0,0.53
97,28,박시영,21k,1.23,48,0,0,0,3,3,0,12,45.0,16,12,180,30,2,0,4,15,2,1,51,0,5,2.40,1.00,187.1,141.1,-0.07
98,29,김민수,21k,1.18,56,0,0,1,4,2,0,11,58.0,25,19,253,56,8,1,2,24,3,3,55,1,3,2.95,1.38,152.3,142.2,-0.18
99,30,심재민,21k,1.17,28,0,0,2,0,1,0,1,46.2,15,15,189,41,4,0,4,11,1,0,35,0,0,2.89,1.11,155.3,123.8,-0.07
100,31,유원상,20k,1.16,62,0,0,0,2,1,2,9,64.0,32,27,271,52,12,0,8,28,1,1,37,0,5,3.80,1.25,126.5,89.0,0.01
101,32,소형준,21k,1.02,24,0,0,24,7,7,0,0,119.0,67,55,521,123,17,0,6,51,1,4,85,0,5,4.16,1.46,108.0,113.3,-0.52
102,33,배제성,22k,0.94,14,0,0,14,3,6,0,0,82.2,41,35,341,74,9,2,7,28,0,0,71,0,8,3.81,1.23,104.0,105.0,0.06
103,34,엄상백,21k,0.94,10,0,0,9,4,1,0,0,52.2,24,24,228,41,10,0,7,28,0,3,45,0,0,4.10,1.31,109.5,86.7,0.03
104,35,조현우,21k,0.88,49,0,0,0,0,0,0,6,31.0,10,9,126,26,5,1,0,7,1,1,13,0,2,2.61,1.07,171.9,140.3,0.73
105,36,전유수,19k,0.88,62,0,0,1,3,1,1,7,66.1,31,25,280,66,16,1,2,18,4,4,46,0,6,3.39,1.27,122.0,128.9,-1.21
106,37,이종혁,18k,0.86,47,0,0,0,0,5,1,4,48.1,28,25,215,61,8,0,4,17,3,2,31,0,2,4.66,1.61,113.8,112.8,-2.12
107,38,엄상백,22k,0.79,16,0,0,11,6,2,0,0,65.0,31,27,274,65,8,1,7,21,0,2,58,0,0,3.74,1.32,106.0,97.5,0.28
108,39,주권,22k,0.78,28,0,0,0,2,2,1,8,27.1,10,10,107,27,3,0,3,4,0,0,21,0,0,3.29,1.13,120.3,106.9,1.04
109,40,김재윤,22k,0.74,28,0,0,0,2,3,15,0,30.2,13,11,124,21,2,0,2,10,4,0,36,0,1,3.23,1.01,122.7,162.4,0.64
110,41,김대유,19k,0.69,21,0,0,0,0,0,0,0,27.0,7,7,111,21,6,0,1,12,1,4,23,0,0,2.33,1.22,177.4,107.6,0.21
111,42,이창재,21k,0.68,32,0,0,0,2,0,0,0,26.2,8,8,108,22,5,0,0,10,2,0,19,0,0,2.70,1.20,166.4,158.6,0.23
112,43,홍성용,18k,0.68,56,0,0,0,2,1,1,6,45.0,28,27,202,49,14,1,7,16,0,5,42,0,2,5.40,1.44,98.1,96.3,0.04
113,44,류희운,18k,0.68,29,0,0,2,1,1,0,1,44.0,25,24,195,53,11,0,11,14,0,2,28,0,3,4.91,1.52,107.9,75.1,-0.28
114,45,심재민,18k,0.63,44,0,0,0,4,5,2,3,41.0,25,21,179,47,5,2,5,17,3,2,36,0,4,4.61,1.56,115.0,107.8,-1.13
115,46,전유수,20k,0.56,47,0,0,0,5,4,2,3,45.2,26,26,200,46,7,1,3,21,5,3,27,0,1,5.12,1.47,93.8,106.5,0.41
116,47,이대은,21k,0.54,31,0,0,0,3,2,1,9,31.0,15,12,128,27,6,0,4,11,0,1,22,0,0,3.48,1.23,128.9,93.3,-0.14
117,48,이대은,19k,0.53,43,0,0,8,4,2,17,0,85.0,48,40,387,88,17,1,10,39,1,6,58,0,5,4.24,1.49,97.7,80.1,0.93
118,49,안영명,21k,0.51,35,0,0,0,0,1,0,4,35.1,17,16,145,24,3,0,2,11,0,1,32,0,0,4.08,0.99,110.2,135.9,-0.13
119,50,김민,19k,0.46,27,0,0,26,6,11,0,0,150.2,88,83,674,175,26,4,16,65,0,4,91,2,4,4.96,1.59,83.5,83.0,-2.06
120,51,김민수,19k,0.45,28,0,0,11,8,5,2,1,81.2,46,45,354,87,12,3,10,30,2,2,56,0,4,4.96,1.43,83.5,86.8,-0.60
121,52,김민,18k,0.35,9,0,0,9,4,2,0,0,37.1,26,21,178,40,10,0,4,25,0,6,25,0,5,5.06,1.74,104.7,81.4,-0.63
122,53,김사율,18k,0.33,29,0,0,3,1,2,0,0,45.1,32,29,204,56,14,1,12,10,1,2,35,0,4,5.76,1.46,92.0,80.3,-0.87
123,54,데스파이네,22k,0.25,14,0,0,14,3,7,0,0,78.1,47,39,344,97,17,0,5,16,1,5,72,0,5,4.48,1.44,88.4,127.0,-1.11
124,55,고창성,18k,0.17,42,0,0,0,2,0,0,5,37.2,29,28,183,57,7,0,7,11,1,5,23,0,1,6.69,1.81,79.2,83.3,-0.93
125,56,엄상백,18k,0.17,55,0,0,0,1,8,2,12,46.1,33,28,211,51,9,1,4,17,5,8,44,0,3,5.44,1.47,97.4,119.7,-1.17
126,57,하준호,20k,-0.06,42,0,0,1,0,3,0,5,41.2,30,28,189,38,6,0,1,27,1,2,26,0,2,6.05,1.56,79.4,102.9,-1.00
127,58,신병률,18k,-0.06,21,0,0,1,0,0,1,2,25.2,22,20,120,35,10,1,6,7,0,3,14,0,1,7.01,1.64,75.6,74.5,-0.80
128,59,손동현,19k,-0.21,34,0,0,3,2,3,0,5,47.1,29,25,220,51,7,0,2,31,3,0,29,1,0,4.75,1.73,87.1,92.0,-0.95
129,60,금민철,19k,-0.22,14,0,0,14,1,4,0,0,57.0,38,32,263,66,7,1,5,25,0,7,26,0,4,5.05,1.60,81.9,77.5,-0.90
130,61,이대은,20k,-0.25,20,0,0,4,0,4,1,0,29.1,23,19,142,36,6,0,4,13,3,5,15,0,8,5.83,1.67,82.4,81.2,-2.73
131,62,조병욱,20k,-0.26,9,0,0,4,0,1,0,0,28.1,24,24,131,39,4,0,4,13,0,1,11,0,0,7.62,1.84,63.0,77.8,-0.51
132,63,김민,20k,-0.43,24,0,0,6,3,3,0,1,42.2,35,31,207,46,4,0,6,29,0,5,32,0,5,6.54,1.76,73.5,75.6,-1.32
133,64,김민수,20k,-0.66,33,0,0,18,3,8,0,0,103.1,80,70,482,151,22,1,14,30,0,4,63,0,6,6.10,1.75,78.8,93.4,-3.55
134,65,정성곤,19k,-0.73,52,0,0,0,3,3,8,11,53.2,36,33,248,64,16,2,7,22,3,2,40,0,2,5.53,1.60,74.8,85.7,-1.02
135,66,엄상백,19k,-0.74,26,0,0,0,2,3,0,0,31.1,29,28,154,40,6,0,6,24,0,0,20,0,1,8.04,2.04,51.5,59.1,-1.69
136,67,박세진,18k,-0.95,8,0,0,8,1,5,0,0,30.1,37,36,156,47,15,0,10,19,2,2,24,0,3,10.68,2.18,49.6,61.7,-1.27
137,68,주권,18k,-1.04,46,0,0,10,3,9,0,4,88.0,85,82,407,118,24,4,16,27,1,7,54,0,4,8.39,1.65,63.2,85.1,-2.79
138,1,윌슨,18L,6.31,26,1,1,26,9,4,0,0,170.0,63,58,689,158,23,3,11,35,1,6,149,1,10,3.07,1.14,164.3,139.4,2.72
139,2,켈리,21L,4.96,30,0,0,30,13,8,0,0,177.0,64,62,744,160,25,0,12,60,3,11,142,1,7,3.15,1.24,136.8,115.1,1.61
140,3,소사,18L,4.95,27,1,1,27,9,9,0,0,181.1,83,71,760,192,44,1,16,28,1,4,181,0,6,3.52,1.21,143.2,143.3,0.16
141,4,수아레즈,21L,4.43,23,0,0,22,10,2,0,0,115.1,33,28,473,91,16,2,4,41,0,4,126,0,2,2.18,1.15,197.4,157.7,2.60
142,5,켈리,20L,4.26,28,1,1,28,15,7,0,0,173.1,67,64,705,160,29,1,16,40,0,11,134,0,4,3.32,1.15,139.3,112.7,1.64
143,6,켈리,19L,3.98,29,0,0,29,14,12,0,0,180.1,70,51,747,164,33,3,7,41,0,16,126,0,12,2.55,1.14,161.3,118.7,2.39
144,7,고우석,19L,3.89,64,0,0,0,8,2,34,1,70.0,13,12,284,47,7,1,4,29,4,4,76,0,2,1.54,1.09,266.1,126.7,3.58
145,8,윌슨,19L,3.40,30,1,0,30,14,7,0,0,185.0,77,60,763,171,27,2,7,43,1,11,137,0,6,2.92,1.16,140.6,125.4,1.88
146,9,정우영,21L,3.21,70,0,0,0,7,3,2,27,65.0,16,16,263,43,9,0,0,26,1,8,41,0,2,2.22,1.06,194.7,123.3,1.94
147,10,고우석,21L,3.13,63,0,0,0,1,5,30,0,58.0,15,14,240,47,10,1,3,23,5,3,68,0,1,2.17,1.21,198.6,157.6,-0.20
148,11,정우영,20L,2.67,65,0,0,0,4,4,5,20,75.0,26,26,305,48,5,0,3,29,3,11,59,0,1,3.12,1.03,148.3,117.5,2.14
149,12,켈리,22L,2.15,13,0,0,13,9,1,0,0,79.2,27,24,323,72,5,3,4,18,0,2,72,0,2,2.71,1.13,141.9,131.3,1.42
150,13,김대유,21L,2.09,64,0,0,0,4,1,0,24,50.2,13,12,209,32,1,0,2,15,0,9,56,0,2,2.13,0.93,202.4,142.4,1.85
151,14,이정용,21L,1.88,66,0,0,0,3,3,0,15,69.2,25,23,284,55,13,2,4,23,1,1,74,0,0,2.97,1.12,145.2,146.9,1.11
152,15,이민호,20L,1.79,20,0,0,16,4,4,0,0,97.2,46,40,434,94,19,0,5,44,1,10,67,1,4,3.69,1.41,125.6,104.4,0.54
