26 최지광 19삼 1.03 63 0 0 0 3 8 2 10 68.0 33 31 303 64 9 3 4 40 3 5 60 0 3 4.10 4.26 1.53 105.8 99.5 1.03 -0.71
27 원태인 19삼 0.85 26 0 0 20 4 8 0 2 112.0 65 60 493 119 26 3 12 39 0 5 68 2 6 4.82 4.76 1.41 90.0 89.7 0.85 -1.59
28 윤성환 19삼 0.82 27 1 1 27 8 13 0 0 145.1 87 77 643 168 34 3 14 50 0 7 65 0 3 4.77 4.94 1.50 91.0 86.3 0.82 -1.05
29 김윤수 20삼 0.82 61 0 0 0 3 5 0 12 58.0 34 30 266 66 9 0 6 31 3 1 41 0 7 4.66 4.99 1.67 105.4 97.8 0.82 -1.34
30 맥과이어 19삼 0.76 21 1 1 21 4 8 0 0 112.1 68 63 512 119 24 3 13 66 0 6 100 2 3 5.05 5.05 1.65 86.0 84.7 0.76 -0.37
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
31 김대우 20삼 0.63 28 0 0 9 3 7 0 1 77.2 49 44 350 95 17 1 9 26 0 6 37 1 1 5.10 5.35 1.56 96.2 91.3 0.63 -0.91
32 최지광 21삼 0.35 60 0 0 0 7 1 0 14 51.1 30 28 231 53 11 2 5 27 0 2 49 0 2 4.91 4.38 1.56 91.9 102.9 0.35 0.15
33 최채흥 19삼 0.32 28 0 0 15 6 6 0 2 106.2 67 57 478 127 21 5 10 36 1 1 89 0 6 4.81 3.97 1.53 90.2 107.8 0.32 -1.21
34 몽고메리 21삼 0.21 11 0 0 11 2 5 0 0 52.0 33 31 244 46 5 1 3 38 0 4 55 0 4 5.37 4.39 1.62 84.1 102.0 0.21 -0.71
35 심창민 21삼 0.16 59 0 0 0 3 2 0 16 51.1 32 29 238 47 12 0 8 32 0 6 58 1 2 5.08 5.32 1.54 88.8 85.3 0.16 -0.43
36 백정현 20삼 0.10 11 0 0 11 4 4 0 0 59.0 43 34 258 67 15 2 13 17 0 1 46 0 1 5.19 5.78 1.42 94.6 85.6 0.10 -0.87
37 김대우 19삼 0.09 44 0 0 0 5 1 0 1 59.2 38 34 253 61 16 2 11 16 0 5 40 0 2 5.13 5.52 1.29 84.6 78.2 0.09 -0.42
38 헤일리 19삼 0.00 19 0 0 19 5 8 0 0 87.2 59 56 386 95 12 2 5 34 0 6 84 1 5 5.75 3.60 1.47 75.5 118.1 0.00 -1.03
