"순 이름 팀 정렬
51 공민규 19삼1B 0.21 28 60 53 4 13 1 0 3 23 6 0 0 6 1 0 18 0 0 0 .245 .333 .434 .767 .352 108.8 0.21 0.10
52 최영진 18삼1B 0.19 61 140 126 13 37 7 0 4 56 18 2 4 10 0 0 30 6 2 2 .294 .341 .444 .785 .338 92.3 0.19 -0.61
53 강한울 21삼3B 0.19 124 258 223 25 58 5 0 0 63 27 2 2 29 0 0 58 5 3 3 .260 .341 .283 .624 .305 77.6 0.19 -0.26
54 송준석 20삼RF 0.12 32 50 47 5 13 5 0 1 21 7 0 0 2 1 0 6 4 0 0 .277 .320 .447 .767 .345 98.7 0.12 0.19
55 김지찬 20삼2B 0.12 135 287 254 47 59 5 1 1 69 13 21 4 24 2 0 44 1 5 2 .232 .301 .272 .573 .272 53.4 0.12 -1.61
56 강한울 22삼3B 0.10 48 91 83 12 20 4 0 0 24 6 1 0 6 0 0 28 2 1 1 .241 .289 .289 .578 .271 67.8 0.10 -1.12
57 김도환 19삼C 0.10 61 106 93 7 19 6 0 2 31 7 0 0 8 0 0 36 0 4 1 .204 .265 .333 .598 .266 52.0 0.10 -0.44
58 강민호 22삼C 0.10 56 200 180 11 41 8 1 1 54 24 0 0 15 2 3 26 10 0 3 .228 .290 .300 .590 .272 67.8 0.10 -0.16
59 박한이 19삼DH 0.10 30 85 74 6 19 3 0 2 28 13 0 0 9 0 0 17 0 1 1 .257 .333 .378 .712 .327 93.9 0.10 0.32
60 송준석 21삼LF 0.06 19 55 51 5 12 2 0 2 20 4 0 0 3 1 0 13 1 0 0 .235 .291 .392 .683 .317 81.8 0.06 -0.22
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
61 이원석 22삼3B 0.03 29 119 99 11 22 3 0 4 37 18 0 0 12 0 1 29 5 3 5 .222 .293 .374 .667 .292 78.1 0.03 -0.15
62 김성훈 18삼2B 0.02 110 212 185 24 45 9 3 0 60 24 12 6 16 6 0 23 2 3 2 .243 .321 .324 .645 .294 64.3 0.02 0.12
63 이학주 21삼SS -0.04 66 174 155 17 32 8 0 4 52 20 2 2 14 1 0 61 3 4 0 .206 .277 .335 .612 .282 60.5 -0.04 -0.39
64 박승규 21삼LF -0.05 59 78 66 13 12 1 0 3 22 5 1 1 9 2 0 9 4 1 0 .182 .299 .333 .632 .299 69.3 -0.05 -0.27
65 김상수 22삼2B -0.05 20 83 73 6 12 3 0 1 18 12 1 0 10 0 0 16 1 0 0 .164 .265 .247 .512 .250 51.5 -0.05 -0.65
66 송준석 19삼LF -0.08 26 56 51 6 12 3 0 1 18 4 0 0 2 1 0 14 3 1 1 .235 .273 .353 .626 .282 63.0 -0.08 -0.43
67 김호재 21삼1B -0.14 87 90 75 9 17 2 0 0 19 7 0 0 9 2 0 14 0 3 1 .227 .322 .253 .575 .280 60.2 -0.14 -0.15
68 박찬도 18삼RF -0.14 54 82 73 13 17 4 1 0 23 5 3 3 8 0 0 28 0 1 0 .233 .309 .315 .624 .285 59.2 -0.14 0.09
69 박찬도 20삼LF -0.15 51 116 96 20 21 5 0 1 29 8 5 1 15 1 1 22 2 2 2 .219 .325 .302 .627 .292 65.2 -0.15 -0.62
70 이재현 22삼SS -0.19 44 142 138 15 32 2 0 3 43 10 0 0 1 1 0 28 4 2 0 .232 .243 .312 .555 .253 52.7 -0.19 -0.87
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
71 김응민 20삼C -0.23 45 85 76 7 17 1 0 0 18 5 0 0 5 1 0 22 1 3 0 .224 .281 .237 .517 .245 35.6 -0.23 0.05
